Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
Baking Goods,F,M,Beverly Hills,CA,USA,30/12/2011,$30K - $50K,1,5,1918,27
,,,,,,30/12/2011 Total,,1,5,1918,27
,,,,,,04/01/2012,$50K - $70K,1,4,4279,49
,,,,,,04/01/2012 Total,,1,4,4279,49
,,,,,,04/06/2012,$30K - $50K,1,6,7972,1987
,,,,,,04/06/2012 Total,,1,6,7972,1987
,,,,,,29/10/2012,$30K - $50K,1,4,10032,3745
,,,,,,29/10/2012 Total,,1,4,10032,3745
,,,,,,31/10/2012,$10K - $30K,1,5,937,3770
,,,,,,31/10/2012 Total,,1,5,937,3770
,,,,,,21/11/2012,$50K - $70K,1,4,9386,4057
,,,,,,21/11/2012 Total,,1,4,9386,4057
,,,,,,13/12/2012,$10K - $30K,1,4,7571,4389
,,,,,,13/12/2012 Total,,1,4,7571,4389
,,,,,,11/02/2013,$30K - $50K,1,2,275,5788
,,,,,,11/02/2013 Total,,1,2,275,5788
,,,,,,28/04/2013,$10K - $30K,1,4,1270,7847
,,,,,,28/04/2013 Total,,1,4,1270,7847
,,,,,,07/05/2013,$70K - $90K,1,3,5493,8100
,,,,,,07/05/2013 Total,,1,3,5493,8100
,,,,,USA Total,,,10,41,49133,39759
,,,,CA Total,,,,10,41,49133,39759
,,,Beverly Hills Total,,,,,10,41,49133,39759
,,,Bremerton,WA,USA,08/09/2012,$10K - $30K,1,5,7056,3131
,,,,,,08/09/2012 Total,,1,5,7056,3131
,,,,,,15/10/2012,$30K - $50K,1,4,7366,3595
,,,,,,15/10/2012 Total,,1,4,7366,3595
,,,,,,26/12/2012,$30K - $50K,1,5,2878,4608
,,,,,,26/12/2012 Total,,1,5,2878,4608
,,,,,,22/01/2013,$70K - $90K,1,4,2723,5258
,,,,,,22/01/2013 Total,,1,4,2723,5258
,,,,,,13/04/2013,$90K - $110K,1,3,5346,7450
,,,,,,13/04/2013 Total,,1,3,5346,7450
,,,,,,03/07/2013,$30K - $50K,1,3,2878,9660
,,,,,,03/07/2013 Total,,1,3,2878,9660
,,,,,,29/12/2013,$10K - $30K,1,3,9102,14055
,,,,,,29/12/2013 Total,,1,3,9102,14055
,,,,,USA Total,,,7,27,37349,47757
,,,,WA Total,,,,7,27,37349,47757
,,,Bremerton Total,,,,,7,27,37349,47757
,,,Camacho,Zacatecas,Mexico,05/10/2013,$110K - $130K,1,3,2175,12185
,,,,,,05/10/2013 Total,,1,3,2175,12185
,,,,,,24/11/2013,$110K - $130K,1,2,2175,13586
,,,,,,24/11/2013 Total,,1,2,2175,13586
,,,,,,27/11/2013,$30K - $50K,1,3,6151,13653
,,,,,,27/11/2013 Total,,1,3,6151,13653
,,,,,Mexico Total,,,3,8,10501,39424
,,,,Zacatecas Total,,,,3,8,10501,39424
,,,Camacho Total,,,,,3,8,10501,39424
,,,Guadalajara,Jalisco,Mexico,31/03/2013,$90K - $110K,1,2,9253,7103
,,,,,,31/03/2013 Total,,1,2,9253,7103
,,,,,Mexico Total,,,1,2,9253,7103
,,,,Jalisco Total,,,,1,2,9253,7103
,,,Guadalajara Total,,,,,1,2,9253,7103
,,,Hidalgo,Zacatecas,Mexico,14/02/2013,$10K - $30K,1,4,1444,5881
,,,,,,14/02/2013 Total,,1,4,1444,5881
,,,,,,03/03/2013,$30K - $50K,1,2,4620,6363
,,,,,,03/03/2013 Total,,1,2,4620,6363
